age,educ,paeduc,sex,race,yearsjob,realrinc,PASEI10
30,16,16,"female","white",6,30645,76.3
29,20,16,"female","white",6,17025,39.9
38,14,"dk","male","black",9,"IAP",13.6
76,14,14,"female","black",.i,"IAP",59.1
55,13,"iap","female","other",.75,"IAP","IAP, DK, NA, uncodeable"
28,18,18,"male","white",.25,"IAP",68.6
18,9,"dk","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
24,17,19,"female","other",.75,"IAP",92.8
34,0,12,"male","white",3,37455,26.8
77,16,16,"female","white",40,"IAP",52.3
"89 OR OLDER",12,12,"male","white",.i,"IAP",25.1
69,19,8,"male","white",25,54480,15.8
70,12,12,"male","white",.i,12485,34.4
71,16,12,"female","white",.i,"IAP",66.4
34,16,16,"male","white",6,12485,77.4
77,12,"dk","female","other",.i,"IAP",46
20,12,12,"female","white",1,908,35.4
38,3,0,"female","white",12,"IAP",14
29,12,12,"female","white",.i,"IAP",32
69,15,12,"male","white",.i,"IAP",52
36,11,11,"female","white",.i,"IAP",34.7
43,14,16,"female","other",3,"IAP",82.5
64,13,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
53,13,8,"male","white",3,20430,28.4
69,15,8,"female","white",.i,"IAP",23.2
39,10,12,"female","white",20,"IAP",31.6
57,14,12,"male","white",37,"IAP",39.1
63,15,6,"female","white",6,45400,46.5
75,8,"dk","female","white",.i,"IAP",32
32,16,14,"male","white",10,151050.7214,77.4
46,13,3,"male","white",11,24970,32
41,12,"iap","male","white",.i,20430,"IAP, DK, NA, uncodeable"
"NA",14,4,"female","other",6,24970,56.9
49,16,12,"female","white",1,24970,57.8
65,13,"iap","male","white",.i,"IAP","IAP, DK, NA, uncodeable"
59,14,8,"female","white",.25,37455,28.4
47,12,12,"male","white",8,30645,38.8
27,13,12,"female","other",.25,"IAP",25.1
57,12,12,"female","white",.75,9647.5,46
74,20,"iap","female","white",51,2951,"IAP, DK, NA, uncodeable"
51,18,20,"female","white",10,1589,70.1
44,20,18,"male","other",5,151050.7214,62
46,16,12,"female","white",8,30645,51.9
42,12,"dk","female","other",5,20430,18.9
65,16,14,"female","white",2,63560,70.1
36,16,16,"male","white",.25,151050.7214,50
80,18,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
32,16,12,"female","other",6,7377.5,66.1
"89 OR OLDER",5,6,"male","white",.i,"IAP",14
40,16,16,"female","other",.i,"IAP",71.6
88,12,12,"female","white",.i,"IAP",76.3
59,16,12,"female","white",.i,4086,25
55,18,12,"female","white",5,151050.7214,28.5
31,14,12,"female","black",8,17025,37.6
31,18,12,"male","other",2,10782.5,28.5
35,16,18,"female","white",.75,24970,76.3
32,17,16,"female","other",.i,"IAP",69.5
48,12,3,"female","other",.i,"IAP",67.7
24,12,"dk","female","black",.i,"IAP",13.6
22,12,16,"male","other",4,24970,57.5
37,16,0,"female","other",5,14755,39.9
34,16,"iap","female","black",8,72640,"IAP, DK, NA, uncodeable"
"89 OR OLDER",12,8,"female","white",.i,"IAP",23.3
55,0,"iap","female","black",.i,"IAP","IAP, DK, NA, uncodeable"
46,12,"iap","male","black",2,24970,"IAP, DK, NA, uncodeable"
29,17,13,"female","white",.i,14755,28.7
83,12,"dk","female","other",.i,"IAP","IAP, DK, NA, uncodeable"
33,16,12,"female","white",3,24970,32
46,18,"iap","female","black",23,45400,"IAP, DK, NA, uncodeable"
19,13,7,"male","other",.i,"IAP",22.5
65,19,12,"male","black",.i,"IAP",60.5
37,16,2,"female","other",.i,"IAP",14.8
64,12,12,"female","white",.i,"IAP",65.1
22,14,16,"female","white",.25,"IAP",53.6
28,16,18,"male","white",5,37455,77
24,17,20,"female","other",.75,4086,56.9
43,15,"iap","male","white",12,37455,"IAP, DK, NA, uncodeable"
32,16,"iap","male","white",13,17025,"IAP, DK, NA, uncodeable"
76,16,8,"female","white",.i,"IAP",28.5
21,14,13,"female","white",1,3405,70.5
48,14,14,"female","other",14,30645,48.8
76,15,12,"male","white",.i,"IAP",52
55,16,9,"female","white",4,37455,28.7
70,14,"iap","female","white",4,14755,"IAP, DK, NA, uncodeable"
66,18,16,"female","white",.i,"IAP",89.1
37,19,3,"female","other",9,14755,14
70,16,16,"female","white",.i,"IAP",86.9
43,18,17,"male","white",3,54480,83.8
19,9,"iap","female","other",.i,"IAP","IAP, DK, NA, uncodeable"
70,15,12,"male","white",.i,"IAP",39.7
40,18,16,"female","white",11,37455,59.1
59,20,7,"male","other",2,1589,68.6
70,12,7,"female","white",.i,"IAP",39.1
31,13,16,"male","white",2,10782.5,35.8
51,18,18,"female","other",10,37455,65.3
32,15,12,"female","black",4,8512.5,38.8
60,12,12,"female","white",.i,"IAP",52.4
27,12,12,"male","white",2,8512.5,34.6
"89 OR OLDER",16,6,"male","white",.i,"IAP",25.1
50,11,12,"female","black",.i,"IAP",25.2
44,16,12,"female","black",22,14755,50
85,12,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
33,12,6,"male","white",14,14755,14
31,14,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
46,16,"iap","female","white",26,72640,"IAP, DK, NA, uncodeable"
72,16,15,"male","white",40,151050.7214,92.8
50,20,16,"female","white",10,37455,71
66,20,20,"male","white",.i,"IAP",77.4
35,17,17,"female","white",5,20430,77.4
35,11,"dk","female","black",.25,"IAP",32.7
33,13,"iap","female","black",.75,"IAP","IAP, DK, NA, uncodeable"
66,6,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
53,10,"iap","male","white",4,14755,"IAP, DK, NA, uncodeable"
37,16,"dk","female","black",.i,"IAP",42.2
33,12,12,"male","white",7,37455,55.3
28,16,16,"male","black",4,"IAP",46
30,16,14,"female","white",4,"IAP",62
37,11,11,"male","white",10,"IAP",39.1
38,16,12,"male","other",14,37455,39.1
84,14,11,"male","white",.i,"IAP",37.2
66,17,17,"male","white",10,30645,84.5
29,16,16,"female","other",1,24970,80.7
39,17,17,"male","white",11,54480,86.1
33,16,16,"female","black",.75,45400,50
68,18,12,"female","other",16,20430,52
70,16,16,"female","white",10,"IAP",70.1
50,16,12,"male","white",.i,"IAP",39.9
54,17,17,"male","white",2,72640,68
45,16,"iap","male","white",.i,"IAP","IAP, DK, NA, uncodeable"
48,14,20,"female","white",12,"IAP",91.1
73,16,12,"male","white",.i,"IAP",50.1
77,18,11,"female","white",.i,"IAP",39.9
59,16,8,"female","white",37,54480,35.3
72,12,12,"male","white",.i,12485,35.8
68,18,6,"male","white",.i,"IAP",38.3
60,12,16,"female","white",8,7377.5,84.5
63,12,12,"male","white",5,24970,14
45,14,12,"male","white",2,6242.5,58.4
35,13,18,"female","white",4,151050.7214,68.6
22,12,12,"female","white",.i,227,32
36,12,"iap","female","white",1,"IAP","IAP, DK, NA, uncodeable"
76,13,3,"female","white",12,227,39.9
61,12,16,"female","white",.i,"IAP",86.7
56,12,12,"female","white",21,24970,57.5
26,12,"iap","female","black",5,908,"IAP, DK, NA, uncodeable"
59,13,"iap","male","black",.i,"IAP","IAP, DK, NA, uncodeable"
55,12,"dk","male","black",30,20430,46.5
57,18,20,"male","white",3,45400,85.8
59,14,14,"female","white",.i,"IAP",35.4
33,14,"dk","female","white",1,4086,28.7
75,2,"dk","female","other",.i,"IAP",14
61,18,12,"male","white",.25,37455,62
39,13,12,"female","white",5,14755,43
38,12,6,"female","white",2,14755,46
49,17,12,"female","white",9,45400,52
71,16,12,"male","white",.i,"IAP",76.3
47,16,16,"male","black",21,45400,65.3
52,13,0,"male","other",6,37455,77.4
35,17,"iap","female","white",.75,30645,"IAP, DK, NA, uncodeable"
54,12,"dk","female","white",.i,"IAP",28.4
39,12,"dk","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
70,11,12,"male","black",.i,"IAP",20
78,12,3,"female","black",.i,"IAP",39.9
74,20,15,"female","white",.i,"IAP",71.6
65,16,14,"male","white",10,9647.5,43
61,13,16,"male","white",31,151050.7214,43
53,16,12,"female","white",23,45400,39.7
21,12,6,"female","other",1,2951,37.6
41,17,20,"female","white",.25,"IAP",92.8
62,14,10,"female","white",6,5107.5,48.3
71,16,16,"male","white",.i,"IAP",76.3
"89 OR OLDER",16,"dk","male","white",.i,"IAP",32
66,17,16,"male","white",.75,24970,59.1
28,16,16,"male","white",1,24970,86.1
85,17,"iap","female","white",.i,"IAP","IAP, DK, NA, uncodeable"
70,12,"iap","male","white",3,1589,"IAP, DK, NA, uncodeable"
29,16,12,"female","other",6,30645,67.7
39,16,17,"male","other",2,37455,42.7
28,16,13,"male","white",.75,9647.5,77.4
74,16,16,"female","white",.i,"IAP",92.8
53,16,11,"female","white",4,17025,32
